"id","question","sparql","answer_uri","answer_label","frame"
"1806","Chi era il figlio di Pomponia Cecilia Attica?","select  ?o    {    <http://dbpedia.org/resource/Attica_(wife_of_Agrippa)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Vipsania_Agrippina","Vipsania Agrippina","NPP"
"1807","Chi è il figlio di Pomponia Cecilia Attica?","select  ?o    {    <http://dbpedia.org/resource/Attica_(wife_of_Agrippa)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Vipsania_Agrippina","Vipsania Agrippina","NPP"
"1808","Quale persona era il figlio di Pomponia Cecilia Attica?","select  ?o    {    <http://dbpedia.org/resource/Attica_(wife_of_Agrippa)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Vipsania_Agrippina","Vipsania Agrippina","NPP"
"1809","Quale persona è il figlio di Pomponia Cecilia Attica?","select  ?o    {    <http://dbpedia.org/resource/Attica_(wife_of_Agrippa)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Vipsania_Agrippina","Vipsania Agrippina","NPP"
"1810","il figlio di Pomponia Cecilia Attica","select  ?o    {    <http://dbpedia.org/resource/Attica_(wife_of_Agrippa)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Vipsania_Agrippina","Vipsania Agrippina","NPP"
"1811","Chi era la figlia di Barbara Abney-Hastings XIII contessa di Loudoun?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Abney-Hastings,_13th_Countess_of_Loudoun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Michael_Abney-Hastings,_14th_Earl_of_Loudoun","Michael Abney-Hastings, XIV conte di Loudoun","NPP"
"1812","Chi è la figlia di Barbara Abney-Hastings XIII contessa di Loudoun?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Abney-Hastings,_13th_Countess_of_Loudoun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Michael_Abney-Hastings,_14th_Earl_of_Loudoun","Michael Abney-Hastings, XIV conte di Loudoun","NPP"
"1813","Quale persona era la figlia di Barbara Abney-Hastings XIII contessa di Loudoun?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Abney-Hastings,_13th_Countess_of_Loudoun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Michael_Abney-Hastings,_14th_Earl_of_Loudoun","Michael Abney-Hastings, XIV conte di Loudoun","NPP"
"1814","Quale persona è la figlia di Barbara Abney-Hastings XIII contessa di Loudoun?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Abney-Hastings,_13th_Countess_of_Loudoun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Michael_Abney-Hastings,_14th_Earl_of_Loudoun","Michael Abney-Hastings, XIV conte di Loudoun","NPP"
"1815","la figlia di Barbara Abney-Hastings XIII contessa di Loudoun","select  ?o    {    <http://dbpedia.org/resource/Barbara_Abney-Hastings,_13th_Countess_of_Loudoun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Michael_Abney-Hastings,_14th_Earl_of_Loudoun","Michael Abney-Hastings, XIV conte di Loudoun","NPP"
"1816","Chi era il figlio di Barbara Abney-Hastings XIII contessa di Loudoun?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Abney-Hastings,_13th_Countess_of_Loudoun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Michael_Abney-Hastings,_14th_Earl_of_Loudoun","Michael Abney-Hastings, XIV conte di Loudoun","NPP"
"1817","Chi è il figlio di Barbara Abney-Hastings XIII contessa di Loudoun?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Abney-Hastings,_13th_Countess_of_Loudoun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Michael_Abney-Hastings,_14th_Earl_of_Loudoun","Michael Abney-Hastings, XIV conte di Loudoun","NPP"
"1818","Quale persona era il figlio di Barbara Abney-Hastings XIII contessa di Loudoun?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Abney-Hastings,_13th_Countess_of_Loudoun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Michael_Abney-Hastings,_14th_Earl_of_Loudoun","Michael Abney-Hastings, XIV conte di Loudoun","NPP"
"1819","Quale persona è il figlio di Barbara Abney-Hastings XIII contessa di Loudoun?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Abney-Hastings,_13th_Countess_of_Loudoun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Michael_Abney-Hastings,_14th_Earl_of_Loudoun","Michael Abney-Hastings, XIV conte di Loudoun","NPP"
"1820","il figlio di Barbara Abney-Hastings XIII contessa di Loudoun","select  ?o    {    <http://dbpedia.org/resource/Barbara_Abney-Hastings,_13th_Countess_of_Loudoun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Michael_Abney-Hastings,_14th_Earl_of_Loudoun","Michael Abney-Hastings, XIV conte di Loudoun","NPP"
"1821","Chi era la figlia di Barbara Alyn Woods?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Alyn_Woods> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Emily_Alyn_Lind","Emily Alyn Lind","NPP"
"1822","Chi è la figlia di Barbara Alyn Woods?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Alyn_Woods> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Emily_Alyn_Lind","Emily Alyn Lind","NPP"
"1823","Quale persona era la figlia di Barbara Alyn Woods?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Alyn_Woods> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Emily_Alyn_Lind","Emily Alyn Lind","NPP"
"1824","Quale persona è la figlia di Barbara Alyn Woods?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Alyn_Woods> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Emily_Alyn_Lind","Emily Alyn Lind","NPP"
"1825","la figlia di Barbara Alyn Woods","select  ?o    {    <http://dbpedia.org/resource/Barbara_Alyn_Woods> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Emily_Alyn_Lind","Emily Alyn Lind","NPP"
"1826","Chi era il figlio di Barbara Alyn Woods?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Alyn_Woods> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Emily_Alyn_Lind","Emily Alyn Lind","NPP"
"1827","Chi è il figlio di Barbara Alyn Woods?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Alyn_Woods> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Emily_Alyn_Lind","Emily Alyn Lind","NPP"
"1828","Quale persona era il figlio di Barbara Alyn Woods?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Alyn_Woods> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Emily_Alyn_Lind","Emily Alyn Lind","NPP"
"1829","Quale persona è il figlio di Barbara Alyn Woods?","select  ?o    {    <http://dbpedia.org/resource/Barbara_Alyn_Woods> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Emily_Alyn_Lind","Emily Alyn Lind","NPP"
"1830","il figlio di Barbara Alyn Woods","select  ?o    {    <http://dbpedia.org/resource/Barbara_Alyn_Woods> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Emily_Alyn_Lind","Emily Alyn Lind","NPP"
"1831","Chi era la figlia di Berthe Bénichou-Aboulker?","select  ?o    {    <http://dbpedia.org/resource/Berthe_Bénichou-Aboulker> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/José_Aboulker","José Aboulker","NPP"
"1832","Chi è la figlia di Berthe Bénichou-Aboulker?","select  ?o    {    <http://dbpedia.org/resource/Berthe_Bénichou-Aboulker> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/José_Aboulker","José Aboulker","NPP"
"1833","Quale persona era la figlia di Berthe Bénichou-Aboulker?","select  ?o    {    <http://dbpedia.org/resource/Berthe_Bénichou-Aboulker> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/José_Aboulker","José Aboulker","NPP"
"1834","Quale persona è la figlia di Berthe Bénichou-Aboulker?","select  ?o    {    <http://dbpedia.org/resource/Berthe_Bénichou-Aboulker> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/José_Aboulker","José Aboulker","NPP"
"1835","la figlia di Berthe Bénichou-Aboulker","select  ?o    {    <http://dbpedia.org/resource/Berthe_Bénichou-Aboulker> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/José_Aboulker","José Aboulker","NPP"
"1836","Chi era il figlio di Berthe Bénichou-Aboulker?","select  ?o    {    <http://dbpedia.org/resource/Berthe_Bénichou-Aboulker> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/José_Aboulker","José Aboulker","NPP"
"1837","Chi è il figlio di Berthe Bénichou-Aboulker?","select  ?o    {    <http://dbpedia.org/resource/Berthe_Bénichou-Aboulker> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/José_Aboulker","José Aboulker","NPP"
"1838","Quale persona era il figlio di Berthe Bénichou-Aboulker?","select  ?o    {    <http://dbpedia.org/resource/Berthe_Bénichou-Aboulker> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/José_Aboulker","José Aboulker","NPP"
"1839","Quale persona è il figlio di Berthe Bénichou-Aboulker?","select  ?o    {    <http://dbpedia.org/resource/Berthe_Bénichou-Aboulker> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/José_Aboulker","José Aboulker","NPP"
"1840","il figlio di Berthe Bénichou-Aboulker","select  ?o    {    <http://dbpedia.org/resource/Berthe_Bénichou-Aboulker> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/José_Aboulker","José Aboulker","NPP"
"1841","Chi era la figlia di Cassandro?","select  ?o    {    <http://dbpedia.org/resource/Cassander> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_IV_of_Macedon","Filippo IV di Macedonia","NPP"
"1842","Chi è la figlia di Cassandro?","select  ?o    {    <http://dbpedia.org/resource/Cassander> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_IV_of_Macedon","Filippo IV di Macedonia","NPP"
"1843","Quale persona era la figlia di Cassandro?","select  ?o    {    <http://dbpedia.org/resource/Cassander> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_IV_of_Macedon","Filippo IV di Macedonia","NPP"
"1844","Quale persona è la figlia di Cassandro?","select  ?o    {    <http://dbpedia.org/resource/Cassander> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_IV_of_Macedon","Filippo IV di Macedonia","NPP"
"1845","la figlia di Cassandro","select  ?o    {    <http://dbpedia.org/resource/Cassander> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_IV_of_Macedon","Filippo IV di Macedonia","NPP"
"1846","Chi era il figlio di Cassandro?","select  ?o    {    <http://dbpedia.org/resource/Cassander> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_IV_of_Macedon","Filippo IV di Macedonia","NPP"
"1847","Chi è il figlio di Cassandro?","select  ?o    {    <http://dbpedia.org/resource/Cassander> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_IV_of_Macedon","Filippo IV di Macedonia","NPP"
"1848","Quale persona era il figlio di Cassandro?","select  ?o    {    <http://dbpedia.org/resource/Cassander> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_IV_of_Macedon","Filippo IV di Macedonia","NPP"
"1849","Quale persona è il figlio di Cassandro?","select  ?o    {    <http://dbpedia.org/resource/Cassander> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_IV_of_Macedon","Filippo IV di Macedonia","NPP"
"1850","il figlio di Cassandro","select  ?o    {    <http://dbpedia.org/resource/Cassander> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_IV_of_Macedon","Filippo IV di Macedonia","NPP"
"1851","Chi era la figlia di Caterina I di Courtenay?","select  ?o    {    <http://dbpedia.org/resource/Catherine_I,_Latin_Empress> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_of_Valois,_Countess_of_Beaumont","Giovanna di Valois (1304-1363)","NPP"
"1852","Chi è la figlia di Caterina I di Courtenay?","select  ?o    {    <http://dbpedia.org/resource/Catherine_I,_Latin_Empress> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_of_Valois,_Countess_of_Beaumont","Giovanna di Valois (1304-1363)","NPP"
"1853","Quale persona era la figlia di Caterina I di Courtenay?","select  ?o    {    <http://dbpedia.org/resource/Catherine_I,_Latin_Empress> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_of_Valois,_Countess_of_Beaumont","Giovanna di Valois (1304-1363)","NPP"
"1854","Quale persona è la figlia di Caterina I di Courtenay?","select  ?o    {    <http://dbpedia.org/resource/Catherine_I,_Latin_Empress> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_of_Valois,_Countess_of_Beaumont","Giovanna di Valois (1304-1363)","NPP"
"1855","la figlia di Caterina I di Courtenay","select  ?o    {    <http://dbpedia.org/resource/Catherine_I,_Latin_Empress> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_of_Valois,_Countess_of_Beaumont","Giovanna di Valois (1304-1363)","NPP"
"1856","Chi era il figlio di Caterina I di Courtenay?","select  ?o    {    <http://dbpedia.org/resource/Catherine_I,_Latin_Empress> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_of_Valois,_Countess_of_Beaumont","Giovanna di Valois (1304-1363)","NPP"
"1857","Chi è il figlio di Caterina I di Courtenay?","select  ?o    {    <http://dbpedia.org/resource/Catherine_I,_Latin_Empress> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_of_Valois,_Countess_of_Beaumont","Giovanna di Valois (1304-1363)","NPP"
"1858","Quale persona era il figlio di Caterina I di Courtenay?","select  ?o    {    <http://dbpedia.org/resource/Catherine_I,_Latin_Empress> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_of_Valois,_Countess_of_Beaumont","Giovanna di Valois (1304-1363)","NPP"
"1859","Quale persona è il figlio di Caterina I di Courtenay?","select  ?o    {    <http://dbpedia.org/resource/Catherine_I,_Latin_Empress> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_of_Valois,_Countess_of_Beaumont","Giovanna di Valois (1304-1363)","NPP"
"1860","il figlio di Caterina I di Courtenay","select  ?o    {    <http://dbpedia.org/resource/Catherine_I,_Latin_Empress> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_of_Valois,_Countess_of_Beaumont","Giovanna di Valois (1304-1363)","NPP"
"1861","Chi era la figlia di David Freeman-Mitford II barone Redesdale?","select  ?o    {    <http://dbpedia.org/resource/David_Freeman-Mitford,_2nd_Baron_Redesdale> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Unity_Mitford","Unity Mitford","NPP"
"1862","Chi è la figlia di David Freeman-Mitford II barone Redesdale?","select  ?o    {    <http://dbpedia.org/resource/David_Freeman-Mitford,_2nd_Baron_Redesdale> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Unity_Mitford","Unity Mitford","NPP"
"1863","Quale persona era la figlia di David Freeman-Mitford II barone Redesdale?","select  ?o    {    <http://dbpedia.org/resource/David_Freeman-Mitford,_2nd_Baron_Redesdale> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Unity_Mitford","Unity Mitford","NPP"
"1864","Quale persona è la figlia di David Freeman-Mitford II barone Redesdale?","select  ?o    {    <http://dbpedia.org/resource/David_Freeman-Mitford,_2nd_Baron_Redesdale> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Unity_Mitford","Unity Mitford","NPP"
"1865","la figlia di David Freeman-Mitford II barone Redesdale","select  ?o    {    <http://dbpedia.org/resource/David_Freeman-Mitford,_2nd_Baron_Redesdale> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Unity_Mitford","Unity Mitford","NPP"
"1866","Chi era il figlio di David Freeman-Mitford II barone Redesdale?","select  ?o    {    <http://dbpedia.org/resource/David_Freeman-Mitford,_2nd_Baron_Redesdale> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Unity_Mitford","Unity Mitford","NPP"
"1867","Chi è il figlio di David Freeman-Mitford II barone Redesdale?","select  ?o    {    <http://dbpedia.org/resource/David_Freeman-Mitford,_2nd_Baron_Redesdale> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Unity_Mitford","Unity Mitford","NPP"
"1868","Quale persona era il figlio di David Freeman-Mitford II barone Redesdale?","select  ?o    {    <http://dbpedia.org/resource/David_Freeman-Mitford,_2nd_Baron_Redesdale> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Unity_Mitford","Unity Mitford","NPP"
"1869","Quale persona è il figlio di David Freeman-Mitford II barone Redesdale?","select  ?o    {    <http://dbpedia.org/resource/David_Freeman-Mitford,_2nd_Baron_Redesdale> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Unity_Mitford","Unity Mitford","NPP"
"1870","il figlio di David Freeman-Mitford II barone Redesdale","select  ?o    {    <http://dbpedia.org/resource/David_Freeman-Mitford,_2nd_Baron_Redesdale> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Unity_Mitford","Unity Mitford","NPP"
"1871","Chi era la figlia di Decimo Aterio Agrippa?","select  ?o    {    <http://dbpedia.org/resource/Decimus_Haterius_Agrippa> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Quintus_Haterius_Antoninus","Quinto Aterio Antonino","NPP"
"1872","Chi è la figlia di Decimo Aterio Agrippa?","select  ?o    {    <http://dbpedia.org/resource/Decimus_Haterius_Agrippa> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Quintus_Haterius_Antoninus","Quinto Aterio Antonino","NPP"
"1873","Quale persona era la figlia di Decimo Aterio Agrippa?","select  ?o    {    <http://dbpedia.org/resource/Decimus_Haterius_Agrippa> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Quintus_Haterius_Antoninus","Quinto Aterio Antonino","NPP"
"1874","Quale persona è la figlia di Decimo Aterio Agrippa?","select  ?o    {    <http://dbpedia.org/resource/Decimus_Haterius_Agrippa> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Quintus_Haterius_Antoninus","Quinto Aterio Antonino","NPP"
"1875","la figlia di Decimo Aterio Agrippa","select  ?o    {    <http://dbpedia.org/resource/Decimus_Haterius_Agrippa> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Quintus_Haterius_Antoninus","Quinto Aterio Antonino","NPP"
"1876","Chi era il figlio di Decimo Aterio Agrippa?","select  ?o    {    <http://dbpedia.org/resource/Decimus_Haterius_Agrippa> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Quintus_Haterius_Antoninus","Quinto Aterio Antonino","NPP"
"1877","Chi è il figlio di Decimo Aterio Agrippa?","select  ?o    {    <http://dbpedia.org/resource/Decimus_Haterius_Agrippa> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Quintus_Haterius_Antoninus","Quinto Aterio Antonino","NPP"
"1878","Quale persona era il figlio di Decimo Aterio Agrippa?","select  ?o    {    <http://dbpedia.org/resource/Decimus_Haterius_Agrippa> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Quintus_Haterius_Antoninus","Quinto Aterio Antonino","NPP"
"1879","Quale persona è il figlio di Decimo Aterio Agrippa?","select  ?o    {    <http://dbpedia.org/resource/Decimus_Haterius_Agrippa> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Quintus_Haterius_Antoninus","Quinto Aterio Antonino","NPP"
"1880","il figlio di Decimo Aterio Agrippa","select  ?o    {    <http://dbpedia.org/resource/Decimus_Haterius_Agrippa> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Quintus_Haterius_Antoninus","Quinto Aterio Antonino","NPP"
"1881","Chi era la figlia di Dhirubhai Ambani?","select  ?o    {    <http://dbpedia.org/resource/Dhirubhai_Ambani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mukesh_Ambani","Mukesh Ambani","NPP"
"1882","Chi è la figlia di Dhirubhai Ambani?","select  ?o    {    <http://dbpedia.org/resource/Dhirubhai_Ambani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mukesh_Ambani","Mukesh Ambani","NPP"
"1883","Quale persona era la figlia di Dhirubhai Ambani?","select  ?o    {    <http://dbpedia.org/resource/Dhirubhai_Ambani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mukesh_Ambani","Mukesh Ambani","NPP"
"1884","Quale persona è la figlia di Dhirubhai Ambani?","select  ?o    {    <http://dbpedia.org/resource/Dhirubhai_Ambani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mukesh_Ambani","Mukesh Ambani","NPP"
"1885","la figlia di Dhirubhai Ambani","select  ?o    {    <http://dbpedia.org/resource/Dhirubhai_Ambani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mukesh_Ambani","Mukesh Ambani","NPP"
"1886","Chi era il figlio di Dhirubhai Ambani?","select  ?o    {    <http://dbpedia.org/resource/Dhirubhai_Ambani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mukesh_Ambani","Mukesh Ambani","NPP"
"1887","Chi è il figlio di Dhirubhai Ambani?","select  ?o    {    <http://dbpedia.org/resource/Dhirubhai_Ambani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mukesh_Ambani","Mukesh Ambani","NPP"
"1888","Quale persona era il figlio di Dhirubhai Ambani?","select  ?o    {    <http://dbpedia.org/resource/Dhirubhai_Ambani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mukesh_Ambani","Mukesh Ambani","NPP"
"1889","Quale persona è il figlio di Dhirubhai Ambani?","select  ?o    {    <http://dbpedia.org/resource/Dhirubhai_Ambani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mukesh_Ambani","Mukesh Ambani","NPP"
"1890","il figlio di Dhirubhai Ambani","select  ?o    {    <http://dbpedia.org/resource/Dhirubhai_Ambani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mukesh_Ambani","Mukesh Ambani","NPP"
"1891","Chi era la figlia di Doamna Chiajna?","select  ?o    {    <http://dbpedia.org/resource/Doamna_Chiajna> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Peter_the_Younger","Petru I cel Tânăr","NPP"
"1892","Chi è la figlia di Doamna Chiajna?","select  ?o    {    <http://dbpedia.org/resource/Doamna_Chiajna> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Peter_the_Younger","Petru I cel Tânăr","NPP"
"1893","Quale persona era la figlia di Doamna Chiajna?","select  ?o    {    <http://dbpedia.org/resource/Doamna_Chiajna> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Peter_the_Younger","Petru I cel Tânăr","NPP"
"1894","Quale persona è la figlia di Doamna Chiajna?","select  ?o    {    <http://dbpedia.org/resource/Doamna_Chiajna> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Peter_the_Younger","Petru I cel Tânăr","NPP"
"1895","la figlia di Doamna Chiajna","select  ?o    {    <http://dbpedia.org/resource/Doamna_Chiajna> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Peter_the_Younger","Petru I cel Tânăr","NPP"
"1896","Chi era il figlio di Doamna Chiajna?","select  ?o    {    <http://dbpedia.org/resource/Doamna_Chiajna> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Peter_the_Younger","Petru I cel Tânăr","NPP"
"1897","Chi è il figlio di Doamna Chiajna?","select  ?o    {    <http://dbpedia.org/resource/Doamna_Chiajna> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Peter_the_Younger","Petru I cel Tânăr","NPP"
"1898","Quale persona era il figlio di Doamna Chiajna?","select  ?o    {    <http://dbpedia.org/resource/Doamna_Chiajna> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Peter_the_Younger","Petru I cel Tânăr","NPP"
"1899","Quale persona è il figlio di Doamna Chiajna?","select  ?o    {    <http://dbpedia.org/resource/Doamna_Chiajna> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Peter_the_Younger","Petru I cel Tânăr","NPP"
"1900","il figlio di Doamna Chiajna","select  ?o    {    <http://dbpedia.org/resource/Doamna_Chiajna> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Peter_the_Younger","Petru I cel Tânăr","NPP"
"1901","Chi era la figlia di Ėdmond Keosajan?","select  ?o    {    <http://dbpedia.org/resource/Edmond_Keosayan> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Tigran_Keosayan","Tigran Keosajan","NPP"
"1902","Chi è la figlia di Ėdmond Keosajan?","select  ?o    {    <http://dbpedia.org/resource/Edmond_Keosayan> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Tigran_Keosayan","Tigran Keosajan","NPP"
"1903","Quale persona era la figlia di Ėdmond Keosajan?","select  ?o    {    <http://dbpedia.org/resource/Edmond_Keosayan> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Tigran_Keosayan","Tigran Keosajan","NPP"
"1904","Quale persona è la figlia di Ėdmond Keosajan?","select  ?o    {    <http://dbpedia.org/resource/Edmond_Keosayan> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Tigran_Keosayan","Tigran Keosajan","NPP"
"1905","la figlia di Ėdmond Keosajan","select  ?o    {    <http://dbpedia.org/resource/Edmond_Keosayan> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Tigran_Keosayan","Tigran Keosajan","NPP"
"1906","Chi era il figlio di Ėdmond Keosajan?","select  ?o    {    <http://dbpedia.org/resource/Edmond_Keosayan> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Tigran_Keosayan","Tigran Keosajan","NPP"
"1907","Chi è il figlio di Ėdmond Keosajan?","select  ?o    {    <http://dbpedia.org/resource/Edmond_Keosayan> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Tigran_Keosayan","Tigran Keosajan","NPP"
"1908","Quale persona era il figlio di Ėdmond Keosajan?","select  ?o    {    <http://dbpedia.org/resource/Edmond_Keosayan> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Tigran_Keosayan","Tigran Keosajan","NPP"
