id,question,sparql,answer,answer,frame
193770,il compositore di The Law of Men,select  ?o    {    <http://dbpedia.org/resource/The_Law_of_Men> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193771,il compositore di The Haunted Bedroom (film 1919),select  ?o    {    <http://dbpedia.org/resource/The_Haunted_Bedroom> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193772,il compositore di The Virtuous Thief,select  ?o    {    <http://dbpedia.org/resource/The_Virtuous_Thief> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193773,il compositore di Stepping Out (film 1919),select  ?o    {    <http://dbpedia.org/resource/Stepping_Out_(1919_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193774,il compositore di Dangerous Hours,select  ?o    {    <http://dbpedia.org/resource/Dangerous_Hours> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193775,il compositore di The False Road,select  ?o    {    <http://dbpedia.org/resource/The_False_Road> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193776,il compositore di Hairpins,select  ?o    {    <http://dbpedia.org/resource/Hairpins_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193777,il compositore di Silk Hosiery,select  ?o    {    <http://dbpedia.org/resource/Silk_Hosiery> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193778,il compositore di La tratta degli innocenti,select  ?o    {    <http://dbpedia.org/resource/Abandoned_(1949_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Walter_Scharf,,NPP
193779,il compositore di Birds of America - Una famiglia incasinata,select  ?o    {    <http://dbpedia.org/resource/Birds_of_America_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193780,il compositore di Alice una vita sottosopra,select  ?o    {    <http://dbpedia.org/resource/Alice_Upside_Down> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Adam_Gorgoni,,NPP
193781,il compositore di Tarzan e lo stregone,select  ?o    {    <http://dbpedia.org/resource/Tarzan's_Fight_for_Life> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Ernest_Gold_(composer),Ernest Gold,NPP
193782,il compositore di Greater Than Love (film 1921),select  ?o    {    <http://dbpedia.org/resource/Greater_Than_Love> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193783,il compositore di Rose o' the Sea,select  ?o    {    <http://dbpedia.org/resource/Rose_o'_the_Sea> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193784,il compositore di Strangers of the Night,select  ?o    {    <http://dbpedia.org/resource/Strangers_of_the_Night> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193785,il compositore di The Red Lily,select  ?o    {    <http://dbpedia.org/resource/The_Red_Lily> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193786,il compositore di Tarzan e le amazzoni,select  ?o    {    <http://dbpedia.org/resource/Tarzan_and_the_Amazons> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Paul_Sawtell,Paul Sawtell,NPP
193787,il compositore di Messaggi da forze sconosciute,select  ?o    {    <http://dbpedia.org/resource/Circle_of_Iron> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Bruce_Smeaton,,NPP
193788,il compositore di Hotel Bau,select  ?o    {    <http://dbpedia.org/resource/Hotel_for_Dogs_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/John_Debney,John Debney,NPP
193789,il compositore di An American Carol,select  ?o    {    <http://dbpedia.org/resource/An_American_Carol> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/James_L._Venable,,NPP
193790,il compositore di The Darling of Paris,select  ?o    {    <http://dbpedia.org/resource/The_Darling_of_Paris> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193791,il compositore di Tarzan e i cacciatori bianchi,select  ?o    {    <http://dbpedia.org/resource/Tarzan_and_the_Huntress> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Paul_Sawtell,Paul Sawtell,NPP
193792,il compositore di The Ways of Fate,select  ?o    {    <http://dbpedia.org/resource/The_Ways_of_Fate> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193793,il compositore di Shon the Piper,select  ?o    {    <http://dbpedia.org/resource/Shon_the_Piper> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193794,il compositore di Come solo tu sei,select  ?o    {    <http://dbpedia.org/resource/How_to_Be> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193795,il compositore di Rotto,select  ?o    {    <http://dbpedia.org/resource/The_Broken_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Guy_Farley,,NPP
193796,il compositore di Mannen från Mallorca,select  ?o    {    <http://dbpedia.org/resource/The_Man_from_Majorca> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Björn_J:son_Lindh,,NPP
193797,il compositore di Mon homme (film),select  ?o    {    <http://dbpedia.org/resource/My_Man_(1996_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Henryk_Górecki,Henryk Górecki,NPP
193798,il compositore di La prima è stata Eva,select  ?o    {    <http://dbpedia.org/resource/It_Started_with_Eve> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Hans_J._Salter,Hans J. Salter,NPP
193799,il compositore di Un altro uomo un'altra donna,"select  ?o    {    <http://dbpedia.org/resource/Another_Man,_Another_Chance> <http://dbpedia.org/ontology/musicComposer>  ?o    }",http://dbpedia.org/resource/Francis_Lai,Francis Lai,NPP
193800,il compositore di Tornare per rivivere,"select  ?o    {    <http://dbpedia.org/resource/Partir,_revenir> <http://dbpedia.org/ontology/musicComposer>  ?o    }",,no answer found,NPP
193801,il compositore di Poor Jake's Demise,select  ?o    {    <http://dbpedia.org/resource/Poor_Jake's_Demise> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193802,il compositore di The Sea Urchin,select  ?o    {    <http://dbpedia.org/resource/The_Sea_Urchin_(1913_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193803,il compositore di The Trap (film 1913 August),select  ?o    {    <http://dbpedia.org/resource/The_Trap_(1913_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193804,il compositore di Almost an Actress,select  ?o    {    <http://dbpedia.org/resource/Almost_an_Actress> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193805,il compositore di An Elephant on His Hands (film 1913),select  ?o    {    <http://dbpedia.org/resource/An_Elephant_on_His_Hands> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193806,il compositore di La tigre nell'ombra,select  ?o    {    <http://dbpedia.org/resource/The_Sleeping_Tiger> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Malcolm_Arnold,Malcolm Arnold,NPP
193807,il compositore di Female Agents,select  ?o    {    <http://dbpedia.org/resource/Female_Agents> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Bruno_Coulais,Bruno Coulais,NPP
193808,il compositore di Ordine di uccidere,select  ?o    {    <http://dbpedia.org/resource/Orders_to_Kill> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Benjamin_Frankel,Benjamin Frankel,NPP
193809,il compositore di Madagascar (film),select  ?o    {    <http://dbpedia.org/resource/Madagascar_(2005_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Hans_Zimmer,Hans Zimmer,NPP
193810,il compositore di La dura verità,select  ?o    {    <http://dbpedia.org/resource/The_Ugly_Truth> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Aaron_Zigman,Aaron Zigman,NPP
193811,il compositore di City of Men (film),select  ?o    {    <http://dbpedia.org/resource/City_of_Men_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Antônio_Pinto_(composer),Antonio Pinto (compositore),NPP
193812,il compositore di Il collezionista (film 1965),select  ?o    {    <http://dbpedia.org/resource/The_Collector_(1965_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Maurice_Jarre,Maurice Jarre,NPP
193813,il compositore di Fame (film 1966),select  ?o    {    <http://dbpedia.org/resource/Hunger_(1966_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Krzysztof_Komeda,Krzysztof Komeda,NPP
193814,il compositore di Colpo di fulmine - Il mago della truffa,select  ?o    {    <http://dbpedia.org/resource/I_Love_You_Phillip_Morris> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/DeVotchKa,DeVotchKa,NPP
193815,il compositore di Observe and Report,select  ?o    {    <http://dbpedia.org/resource/Observe_and_Report> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Joseph_Stephens,,NPP
193816,il compositore di Shōnen Sarutobi Sasuke,select  ?o    {    <http://dbpedia.org/resource/Magic_Boy_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193817,il compositore di The Life of Wu Xun,select  ?o    {    <http://dbpedia.org/resource/The_Life_of_Wu_Xun> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193818,il compositore di Gidget a Roma,select  ?o    {    <http://dbpedia.org/resource/Gidget_Goes_to_Rome> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/John_Williams,John Williams,NPP
193819,il compositore di Incinta o... quasi,select  ?o    {    <http://dbpedia.org/resource/Labor_Pains> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Andrew_Hollander,,NPP
193820,il compositore di Love & Secrets,select  ?o    {    <http://dbpedia.org/resource/All_Good_Things_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Rob_Simonsen,,NPP
193821,il compositore di 4 farfalle per un assassino,select  ?o    {    <http://dbpedia.org/resource/Straight_On_till_Morning_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193822,il compositore di 3 Idiots,select  ?o    {    <http://dbpedia.org/resource/3_Idiots> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Shantanu_Moitra,,NPP
193823,il compositore di Aiuto sono mia sorella,select  ?o    {    <http://dbpedia.org/resource/Wish_Upon_a_Star> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193824,il compositore di Dietro lo specchio (film 1956),select  ?o    {    <http://dbpedia.org/resource/Bigger_Than_Life> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/David_Raksin,David Raksin,NPP
193825,il compositore di Sista dansen,select  ?o    {    <http://dbpedia.org/resource/Sista_dansen> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193826,il compositore di Poison Ivy: La società segreta,select  ?o    {    <http://dbpedia.org/resource/Poison_Ivy:_The_Secret_Society> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193827,il compositore di L'etrusco uccide ancora,select  ?o    {    <http://dbpedia.org/resource/The_Dead_Are_Alive> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Riz_Ortolani,Riz Ortolani,NPP
193828,il compositore di The Librarian 3 - La maledizione del calice di Giuda,select  ?o    {    <http://dbpedia.org/resource/The_Librarian:_Curse_of_the_Judas_Chalice> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193829,il compositore di Encarnação do Demônio,select  ?o    {    <http://dbpedia.org/resource/Embodiment_of_Evil> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193830,il compositore di Brillante porvenir,select  ?o    {    <http://dbpedia.org/resource/Brilliant_Future> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193831,il compositore di Back to Life (film 1913 Dwan),select  ?o    {    <http://dbpedia.org/resource/Back_to_Life_(1913_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193832,il compositore di Bloodhounds of the North,select  ?o    {    <http://dbpedia.org/resource/Bloodhounds_of_the_North> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193833,il compositore di The Lie (film 1914 Dwan),select  ?o    {    <http://dbpedia.org/resource/The_Lie_(1914_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193834,il compositore di The Honor of the Mounted (film 1914),select  ?o    {    <http://dbpedia.org/resource/The_Honor_of_the_Mounted> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193835,il compositore di Remember Mary Magdalen,select  ?o    {    <http://dbpedia.org/resource/Remember_Mary_Magdalen> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193836,il compositore di Discord and Harmony,select  ?o    {    <http://dbpedia.org/resource/Discord_and_Harmony> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193837,il compositore di The Menace to Carlotta,select  ?o    {    <http://dbpedia.org/resource/The_Menace_to_Carlotta> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193838,il compositore di I raptus segreti di Helen,select  ?o    {    <http://dbpedia.org/resource/What's_the_Matter_with_Helen%3F> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/David_Raksin,David Raksin,NPP
193839,il compositore di The Gay Falcon,select  ?o    {    <http://dbpedia.org/resource/The_Gay_Falcon> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Paul_Sawtell,Paul Sawtell,NPP
193840,il compositore di Delírios de um Anormal,select  ?o    {    <http://dbpedia.org/resource/Hallucinations_of_a_Deranged_Mind> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Beto_Strada,,NPP
193841,il compositore di O Estranho Mundo de Zé do Caixão,select  ?o    {    <http://dbpedia.org/resource/The_Strange_World_of_Coffin_Joe> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193842,il compositore di The Beniker Gang,select  ?o    {    <http://dbpedia.org/resource/The_Beniker_Gang> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193843,il compositore di Il segreto di Pollyanna,select  ?o    {    <http://dbpedia.org/resource/Pollyanna_(1960_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Paul_Smith_(composer),Paul Smith (compositore),NPP
193844,il compositore di Crows Zero,select  ?o    {    <http://dbpedia.org/resource/Crows_Zero> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193845,il compositore di La signora amava le rose (film),select  ?o    {    <http://dbpedia.org/resource/The_Subject_Was_Roses_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Lee_Pockriss,,NPP
193846,il compositore di Vita col padre,select  ?o    {    <http://dbpedia.org/resource/Life_with_Father_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Max_Steiner,Max Steiner,NPP
193847,il compositore di Amiche (film),select  ?o    {    <http://dbpedia.org/resource/Circle_of_Friends_(1995_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Michael_Kamen,Michael Kamen,NPP
193848,il compositore di Vacancy 2 - L'inizio,select  ?o    {    <http://dbpedia.org/resource/Vacancy_2:_The_First_Cut> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Jerome_Dillon,Jerome Dillon,NPP
193849,il compositore di Stalin (film 1992),select  ?o    {    <http://dbpedia.org/resource/Stalin_(1992_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193850,il compositore di Orchidea nera (film 1958),select  ?o    {    <http://dbpedia.org/resource/The_Black_Orchid_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Alessandro_Cicognini,Alessandro Cicognini,NPP
193851,il compositore di Io non credo a nessuno,select  ?o    {    <http://dbpedia.org/resource/Breakheart_Pass_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Jerry_Goldsmith,Jerry Goldsmith,NPP
193852,il compositore di Rivelazione (film 1934),select  ?o    {    <http://dbpedia.org/resource/Now_and_Forever_(1934_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Mack_Gordon,Mack Gordon,NPP
193853,il compositore di Il piacere dello scandalo,select  ?o    {    <http://dbpedia.org/resource/Fools_for_Scandal> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Richard_Rodgers,Richard Rodgers,NPP
193854,il compositore di Messengers 2 - L'inizio della fine,select  ?o    {    <http://dbpedia.org/resource/Messengers_2:_The_Scarecrow> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Joseph_LoDuca,Joseph LoDuca,NPP
193855,il compositore di The Embezzler (film 1914 Dwan),select  ?o    {    <http://dbpedia.org/resource/The_Embezzler_(1914_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193856,il compositore di The End of the Feud (film 1914),select  ?o    {    <http://dbpedia.org/resource/The_End_of_the_Feud> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193857,il compositore di The Tragedy of Whispering Creek,select  ?o    {    <http://dbpedia.org/resource/The_Tragedy_of_Whispering_Creek> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193858,il compositore di The Unlawful Trade,select  ?o    {    <http://dbpedia.org/resource/The_Unlawful_Trade> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193859,il compositore di La rosa tatuata (film),select  ?o    {    <http://dbpedia.org/resource/The_Rose_Tattoo_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Alex_North,Alex North,NPP
193860,il compositore di The Hopes of Blind Alley,select  ?o    {    <http://dbpedia.org/resource/The_Hopes_of_Blind_Alley> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193861,il compositore di A Ranch Romance,select  ?o    {    <http://dbpedia.org/resource/A_Ranch_Romance> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193862,il compositore di Her Grave Mistake,select  ?o    {    <http://dbpedia.org/resource/Her_Grave_Mistake> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193863,il compositore di By the Sun's Rays,select  ?o    {    <http://dbpedia.org/resource/By_the_Sun's_Rays> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193864,il compositore di The Oubliette,select  ?o    {    <http://dbpedia.org/resource/The_Oubliette> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193865,il compositore di A Miner's Romance,select  ?o    {    <http://dbpedia.org/resource/A_Miner's_Romance> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193866,il compositore di Her Bounty,select  ?o    {    <http://dbpedia.org/resource/Her_Bounty> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193867,il compositore di The Higher Law (film 1914 Giblyn),select  ?o    {    <http://dbpedia.org/resource/The_Higher_Law_(1914_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193868,il compositore di We Feed the World,select  ?o    {    <http://dbpedia.org/resource/We_Feed_the_World> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193869,il compositore di L'indiavolata pistolera,select  ?o    {    <http://dbpedia.org/resource/The_Beautiful_Blonde_from_Bashful_Bend> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Cyril_J._Mockridge,Cyril J. Mockridge,NPP
193870,il compositore di Ta divna Splitska noc,select  ?o    {    <http://dbpedia.org/resource/A_Wonderful_Night_in_Split> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Mate_Matišić,,NPP
193871,il compositore di The Battle of Gettysburg (film 1913),select  ?o    {    <http://dbpedia.org/resource/The_Battle_of_Gettysburg_(1913_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193872,il compositore di Richelieu (film 1914),select  ?o    {    <http://dbpedia.org/resource/Richelieu_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193873,il compositore di The Pipes o' Pan,select  ?o    {    <http://dbpedia.org/resource/The_Pipes_o'_Pan> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193874,il compositore di Virtue Is Its Own Reward,select  ?o    {    <http://dbpedia.org/resource/Virtue_Is_Its_Own_Reward> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193875,il compositore di Her Life's Story,select  ?o    {    <http://dbpedia.org/resource/Her_Life's_Story> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193876,il compositore di The Lion the Lamb the Man,"select  ?o    {    <http://dbpedia.org/resource/The_Lion,_the_Lamb,_the_Man> <http://dbpedia.org/ontology/musicComposer>  ?o    }",,no answer found,NPP
193877,il compositore di A Night of Thrills,select  ?o    {    <http://dbpedia.org/resource/A_Night_of_Thrills> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193878,il compositore di A Boy Called Hate,select  ?o    {    <http://dbpedia.org/resource/A_Boy_Called_Hate> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Pray_for_Rain_(band),,NPP
193879,il compositore di Hands Up! (film 1926),select  ?o    {    <http://dbpedia.org/resource/Hands_Up!_(1926_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193880,il compositore di Marat/Sade (film),select  ?o    {    <http://dbpedia.org/resource/Marat/Sade_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Richard_Peaslee,,NPP
193881,il compositore di Per salire più in basso,select  ?o    {    <http://dbpedia.org/resource/The_Great_White_Hope_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Lionel_Newman,Lionel Newman,NPP
193882,il compositore di 6000 Enemies,"select  ?o    {    <http://dbpedia.org/resource/6,000_Enemies> <http://dbpedia.org/ontology/musicComposer>  ?o    }",http://dbpedia.org/resource/Edward_Ward_(composer),Edward Ward,NPP
193883,il compositore di Resurrezione (film 1934),select  ?o    {    <http://dbpedia.org/resource/We_Live_Again> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Alfred_Newman_(composer),Alfred Newman,NPP
193884,il compositore di The Sin of Olga Brandt,select  ?o    {    <http://dbpedia.org/resource/The_Sin_of_Olga_Brandt> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193885,il compositore di London Dreams,select  ?o    {    <http://dbpedia.org/resource/London_Dreams> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Shankar–Ehsaan–Loy,Shankar-Ehsaan-Loy,NPP
193886,il compositore di A Small Town Girl,select  ?o    {    <http://dbpedia.org/resource/A_Small_Town_Girl> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193887,il compositore di The Measure of a Man (film 1915),select  ?o    {    <http://dbpedia.org/resource/The_Measure_of_a_Man_(1915_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193888,il compositore di (500) giorni insieme,select  ?o    {    <http://dbpedia.org/resource/500_Days_of_Summer> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Mychael_Danna,Mychael Danna,NPP
193889,il compositore di The Escape (film 1914),select  ?o    {    <http://dbpedia.org/resource/The_Escape_(1914_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193890,il compositore di Radio Killer 2 - Fine della corsa,select  ?o    {    <http://dbpedia.org/resource/Joy_Ride_2:_Dead_Ahead> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Joe_Kraemer_(composer),,NPP
193891,il compositore di Whip It (film),select  ?o    {    <http://dbpedia.org/resource/Whip_It_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/The_Section_Quartet,,NPP
193892,il compositore di The River Niger,select  ?o    {    <http://dbpedia.org/resource/The_River_Niger_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/War_(American_band),War (gruppo musicale),NPP
193893,il compositore di L'impero della passione,select  ?o    {    <http://dbpedia.org/resource/Empire_of_Passion> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Tōru_Takemitsu,Tōru Takemitsu,NPP
193894,il compositore di The Last Station,select  ?o    {    <http://dbpedia.org/resource/The_Last_Station> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193895,il compositore di Out (film),select  ?o    {    <http://dbpedia.org/resource/Out_(2002_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193896,il compositore di I Just Didn't Do It,select  ?o    {    <http://dbpedia.org/resource/I_Just_Didn't_Do_It> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193897,il compositore di Život sa stricem,select  ?o    {    <http://dbpedia.org/resource/My_Uncle's_Legacy> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Brane_Živković,,NPP
193898,il compositore di Commandos (film 1968),select  ?o    {    <http://dbpedia.org/resource/Commandos_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Mario_Nascimbene,Mario Nascimbene,NPP
193899,il compositore di Kambakkht Ishq,select  ?o    {    <http://dbpedia.org/resource/Kambakkht_Ishq> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/RDB_(band),,NPP
193900,il compositore di Borstal Boy (film),select  ?o    {    <http://dbpedia.org/resource/Borstal_Boy_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Stephen_McKeon,,NPP
193901,il compositore di Crepuscolo di Tokyo,select  ?o    {    <http://dbpedia.org/resource/Tokyo_Twilight> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Kojun_Saitō,,NPP
193902,il compositore di War of the Worlds 2: The Next Wave,select  ?o    {    <http://dbpedia.org/resource/War_of_the_Worlds_2:_The_Next_Wave> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
193903,il compositore di L'autunno della famiglia Kohayagawa,select  ?o    {    <http://dbpedia.org/resource/The_End_of_Summer> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Toshiro_Mayuzumi,,NPP
193904,il compositore di Moby Dick il mostro bianco,select  ?o    {    <http://dbpedia.org/resource/Moby_Dick_(1930_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/William_Axt,William Axt,NPP
193905,il compositore di Get Yourself a College Girl,select  ?o    {    <http://dbpedia.org/resource/Get_Yourself_a_College_Girl> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Fred_Karger,,NPP
193906,il compositore di Girl Trouble (film 1942),select  ?o    {    <http://dbpedia.org/resource/Girl_Trouble_(1942_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
